iter	RMSE
220	5.610634432
221	5.60801882
222	5.599762454
223	5.5972754
224	5.583793079
225	5.576210784
226	5.565779608
227	5.55349086
228	5.551153861
229	5.539992982
230	5.527982739
231	5.525309998
232	5.516044764
233	5.483871068
234	5.476297083
235	5.445913755
236	5.440269099
237	5.427130987
238	5.407668547
239	5.401669151
240	5.396188375
241	5.377248413
242	5.355929196
243	5.353308467
244	5.339855642
245	5.335428301
246	5.32440272
247	5.310454127
248	5.299784375
249	5.297675911
250	5.275429171
251	5.264901906
252	5.255879311
253	5.24016888
254	5.23779269
255	5.222984554
256	5.214083567
257	5.203472707
258	5.198524384
259	5.175646484
260	5.173339701
261	5.160538623
262	5.153791068
263	5.13786275
264	5.128158031
265	5.123543782
266	5.11535747
267	5.102094304
268	5.091622065
269	5.083475218
270	5.067092394
271	5.053503984
272	5.04359993
273	5.030496835
274	5.015717172
275	5.001388542
276	4.998248742
277	4.975811029
278	4.965819856
279	4.955783562
280	4.947878729
281	4.938667508
282	4.92411537
283	4.919887768
284	4.910826507
285	4.903707219
286	4.893199521
287	4.872179328
288	4.865557169
289	4.85578872
290	4.847110604
291	4.826508947
292	4.813627109
293	4.794428382
294	4.786264285
295	4.782347876
296	4.774182977
297	4.760337401
298	4.749678316
299	4.730178317
300	4.716498165
301	4.712684399
302	4.710685146
303	4.702305273
304	4.693674918
305	4.683563938
306	4.677924063
307	4.675268847
308	4.666716531
309	4.657495322
310	4.6486039
311	4.635066236
312	4.628956923
313	4.621774806
314	4.61616331
315	4.607733809
316	4.606275477
317	4.603825207
318	4.594497582
319	4.58572186
320	4.581331082
321	4.57994424
322	4.566273985
323	4.550478922
324	4.547279851
325	4.536884074
326	4.526933053
327	4.515909945
328	4.5055692
329	4.503219839
330	4.495308754
331	4.487076587
332	4.483262905
333	4.477556148
334	4.47474225
335	4.465891508
336	4.457520443
337	4.449554856
338	4.445893592
339	4.439503131
340	4.422352722
341	4.415690054
342	4.407755552
343	4.397909876
344	4.395244956
345	4.386419527
346	4.382632645
347	4.374631981
348	4.371421635
349	4.363907881
350	4.360720259
351	4.359530629
352	4.357022767
353	4.34814642
354	4.340812409
355	4.335330054
356	4.333919495
357	4.325084198
358	4.319525083
359	4.31227238
360	4.304608702
361	4.296206166
362	4.28046273
363	4.271107832
364	4.260932738
365	4.248626268
366	4.247511395
367	4.240482339
368	4.238144206
369	4.230824936
370	4.225089039
371	4.215446945
372	4.209325013
373	4.201440065
374	4.198887519
375	4.191248211
376	4.187416527
377	4.182170541
378	4.17028736
379	4.1692007
380	4.160270694
381	4.155277834
382	4.149716208
383	4.147774832
384	4.139601138
385	4.133092599
386	4.12896825
387	4.120953343
388	4.115996049
389	4.103977385
390	4.095538177
391	4.090943545
392	4.088728362
393	4.083325524
394	4.069456628
395	4.067252126
396	4.063175327
397	4.060044788
398	4.053385124
399	4.048517878
400	4.04513738
401	4.037068134
402	4.033857107
403	4.031033757
404	4.024928789
405	4.022331941
406	4.013208295
407	4.006448186
408	4.002926325
409	3.995977332
410	3.987598462
411	3.985821987
412	3.980403954
413	3.978346052
414	3.973231907
415	3.968902423
416	3.96405472
417	3.956521876
418	3.946414233
419	3.94419569
420	3.936437344
421	3.930835258
422	3.918823498
423	3.914173572
424	3.911868654
425	3.903825187
426	3.895970008
427	3.894428996
428	3.89209232
429	3.889407244
430	3.879276755
431	3.872898433
432	3.869370508
433	3.866601278
434	3.858773821
435	3.856024946
436	3.844808297
437	3.839808316
438	3.838366736
439	3.836951995
440	3.832735605
441	3.826749524
442	3.82039269
443	3.813481752
444	3.807328841
445	3.802949773
446	3.80058653
447	3.795166851
448	3.793993795
449	3.787360259
450	3.78456348
451	3.778228235
452	3.772589247
453	3.7717088
454	3.766691137
455	3.760300198
456	3.754541054
457	3.747945285
458	3.742042239
459	3.738162421
460	3.733548889
461	3.732228271
462	3.727118007
463	3.721359482
464	3.718689192
465	3.715036319
466	3.713092223
467	3.711323064
468	3.710021347
469	3.706645117
470	3.70586235
471	3.704544024
472	3.697451688
473	3.694365319
474	3.688986601
475	3.685972021
476	3.682373742
477	3.679300928
478	3.674067092
479	3.67274475
480	3.66725467
481	3.665714851
482	3.66418762
483	3.659803936
484	3.654944129
485	3.6534007
486	3.642903478
487	3.638399956
488	3.63308293
489	3.629760433
490	3.625558813
491	3.617096762
492	3.611682701
493	3.60873071
494	3.603772511
495	3.594382227
496	3.589417972
497	3.581153459
498	3.575825775
499	3.572021596
500	3.566544299
501	3.563598671
502	3.553861164
503	3.549434583
504	3.545813065
505	3.540661727
506	3.536220736
507	3.531196458
508	3.529589131
509	3.524764217
510	3.520378978
511	3.515396591
512	3.508703785
513	3.505486543
514	3.504740428
515	3.501657624
516	3.498995205
517	3.497552561
518	3.495260123
519	3.486986038
520	3.486328313
521	3.483741857
522	3.480364745
523	3.477790113
524	3.477154704
525	3.475484578
526	3.473583825
527	3.472577888
528	3.470704573
529	3.470118933
530	3.467808773
531	3.463698794
532	3.458287435
533	3.453496776
534	3.450156243
535	3.445362414
536	3.440755927
537	3.438619373
538	3.436177922
539	3.432342503
540	3.430784659
541	3.427156643
542	3.422883958
543	3.417265799
544	3.416369127
545	3.411946803
546	3.40954366
547	3.402383608
548	3.400054215
549	3.397073928
550	3.39253253
551	3.388547952
552	3.379466312
553	3.374994298
554	3.371284185
555	3.370427101
556	3.369945665
557	3.369235579
558	3.365195614
559	3.35778061
560	3.353114367
561	3.345905199
562	3.342821239
563	3.338765491
564	3.334862592
565	3.331377622
566	3.329313594
567	3.324478018
568	3.320387785
569	3.316592759
570	3.31336905
571	3.309535354
572	3.30676223
573	3.304913073
574	3.299832679
575	3.298595288
576	3.296970211
577	3.295429046
578	3.291625533
579	3.287741816
580	3.281306266
581	3.276534229
582	3.272570154
583	3.271695434
584	3.267582024
585	3.264989542
586	3.262129993
587	3.260089324
588	3.255754717
589	3.252386991
590	3.251490528
591	3.2476035
592	3.243801463
593	3.240153125
594	3.236050343
595	3.232838244
596	3.231566753
597	3.229133017
598	3.226179345
599	3.218860888
600	3.215753956
601	3.214620967
602	3.210044162
603	3.206707274
604	3.204122111
605	3.198993643
606	3.196096199
607	3.188574003
608	3.187415523
609	3.182105899
610	3.177173259
611	3.173500449
612	3.166252317
613	3.163138346
614	3.159814745
615	3.157654709
616	3.155155692
617	3.150545266
618	3.149073214
619	3.146335656
620	3.142535936
621	3.135188289
622	3.131575916
623	3.128480391
624	3.126048439
625	3.124153863
626	3.121360947
627	3.115027914
628	3.11396785
629	3.111275678
630	3.10930864
631	3.103733515
632	3.099801155
633	3.097676026
634	3.094449338
635	3.093446151
636	3.092546515
637	3.087172741
638	3.082889151
639	3.080723549
640	3.074676663
641	3.072660284
642	3.069370134
643	3.067142902
644	3.063820861
645	3.061602601
646	3.057818817
647	3.052896182
648	3.050883461
649	3.0453548
650	3.042546729
651	3.040038049
652	3.039150285
653	3.034790557
654	3.032501494
655	3.029049606
656	3.026183198
657	3.023447009
658	3.019428174
659	3.015299257
660	3.013364567
661	3.011489904
662	3.007585
663	3.007169119
664	3.003237019
665	3.000718939
666	2.998079985
667	2.995486632
668	2.992510988
669	2.988770128
670	2.9866164
671	2.984697794
672	2.982697179
673	2.97993175
674	2.975923712
675	2.973815406
676	2.971694537
677	2.969838084
678	2.968726357
679	2.967087641
680	2.963347071
681	2.961125391
682	2.958981733
683	2.956278397
684	2.955104826
685	2.949834579
686	2.946152361
687	2.943314291
688	2.940616074
689	2.937822161
690	2.936859177
691	2.933366808
692	2.931121062
693	2.928841102
694	2.927077318
695	2.924274932
696	2.922766309
697	2.91908608
698	2.915760586
699	2.911098039
700	2.905731454
701	2.902573249
702	2.900167613
703	2.899296248
704	2.895676319
705	2.891417204
706	2.890606095
707	2.885474957
708	2.882112943
709	2.879376144
710	2.877363099
711	2.874835334
712	2.873162956
713	2.871916752
714	2.868821343
715	2.866867605
716	2.863687193
717	2.863250766
718	2.860769248
719	2.859709871
720	2.859089667
721	2.85624136
722	2.853577
723	2.847909518
724	2.846154406
725	2.843507931
726	2.841882498
727	2.840143378
728	2.837789982
729	2.833911842
730	2.832614106
731	2.829527109
732	2.828029171
733	2.826158672
734	2.823374394
735	2.82090431
736	2.819075342
737	2.816431044
738	2.812716267
739	2.810195144
740	2.809400111
741	2.806466371
742	2.804419951
743	2.800392374
744	2.798721528
745	2.796231434
746	2.794147163
747	2.791073131
748	2.790036709
749	2.787795792
750	2.785919572
751	2.783597647
752	2.782430702
753	2.781294718
754	2.777324833
755	2.776043303
756	2.772356972
757	2.769593501
758	2.767493896
759	2.766308025
760	2.763436784
761	2.76156641
762	2.760737423
763	2.759109685
764	2.754249004
765	2.751765887
766	2.748774416
767	2.746260272
768	2.745592802
769	2.744499104
770	2.743021667
771	2.742024013
772	2.737170949
773	2.733146159
774	2.730237557
775	2.728639898
776	2.725274243
777	2.722070626
778	2.720987913
779	2.719089955
780	2.71867672
781	2.71586109
782	2.714014364
783	2.71256681
784	2.709905538
785	2.707206123
786	2.705948082
787	2.704570897
788	2.702775143
789	2.699540115
790	2.69719054
791	2.694895918
792	2.692669597
793	2.689493726
794	2.687811769
795	2.687462312
796	2.686715614
797	2.684384553
798	2.682936678
799	2.681103844
800	2.679923464
801	2.677991154
802	2.676024561
803	2.673729005
804	2.671152904
805	2.669889625
806	2.666341015
807	2.665166626
808	2.663288815
809	2.66095373
810	2.660513268
811	2.658910227
812	2.658085368
813	2.655340806
814	2.654679327
815	2.652742327
816	2.650692871
817	2.649077537
818	2.647901097
819	2.64757969
820	2.646034634
821	2.644401193
822	2.640928745
823	2.640272964
824	2.638681434
825	2.635293957
826	2.633856913
827	2.631762811
828	2.629209684
829	2.628130462
830	2.625567189
831	2.623156287
832	2.619569393
833	2.616233061
834	2.613759546
835	2.613069086
836	2.612555438
837	2.610586991
838	2.609245312
839	2.607952355
840	2.606548736
841	2.606057425
842	2.60416779
843	2.601028881
844	2.598247734
845	2.596205978
846	2.592295871
847	2.589430464
848	2.586849223
849	2.583961028
850	2.581859148
851	2.580194215
852	2.577591799
853	2.574540399
854	2.572459738
855	2.572071983
856	2.569281788
857	2.566557524
858	2.566218731
859	2.563787057
860	2.562021885
861	2.559099921
862	2.557176373
863	2.555799356
864	2.553630159
865	2.551598537
866	2.55093274
867	2.550409572
868	2.548272494
869	2.544898956
870	2.543287448
871	2.54008371
872	2.538218061
873	2.536200694
874	2.535334344
875	2.533853674
876	2.532274167
877	2.531154696
878	2.529519111
879	2.527651744
880	2.526368592
881	2.52373349
882	2.520821252
883	2.519033177
884	2.51733836
885	2.516475282
886	2.514643213
887	2.513994005
888	2.513376789
889	2.511845497
890	2.511438807
891	2.50931951
892	2.508345409
893	2.506005018
894	2.505082022
895	2.504385744
896	2.503220841
897	2.502204873
898	2.499832252
899	2.497490533
900	2.495795648
901	2.495345811
902	2.493426912
903	2.492806889
904	2.490667178
905	2.490282634
906	2.489509443
907	2.487651417
908	2.485275189
909	2.482850106
910	2.480999251
911	2.479877505
912	2.478303489
913	2.47666783
914	2.475744141
915	2.472216906
916	2.469143145
917	2.468776374
918	2.466585638
919	2.463722802
920	2.463160332
921	2.460907936
922	2.459815189
923	2.457772794
924	2.455007853
925	2.453999213
926	2.451184746
927	2.449430015
928	2.447559526
929	2.446207109
930	2.444485927
931	2.443353093
932	2.442274437
933	2.440675813
934	2.439686712
935	2.439148977
936	2.438661234
937	2.436860265
938	2.435719593
939	2.43418595
940	2.433953885
941	2.431864905
942	2.430340932
943	2.428986552
944	2.427776284
945	2.426889956
946	2.425088825
947	2.423605669
948	2.422517022
949	2.420437008
950	2.418726088
951	2.418407588
952	2.416692245
953	2.41525106
954	2.414578506
955	2.412903558
956	2.410044155
957	2.409395626
958	2.407139086
959	2.405791845
960	2.40484214
961	2.404552789
962	2.403148181
963	2.401816112
964	2.401248717
965	2.399394906
966	2.398261896
967	2.397170192
968	2.395383325
969	2.391973254
970	2.39030972
971	2.388199309
972	2.385639008
973	2.384110837
974	2.381861651
975	2.380470161
976	2.377296093
977	2.375719854
978	2.373849468
979	2.372565433
980	2.37103056
981	2.368335641
982	2.365787143
983	2.364041532
984	2.362204554
985	2.361211107
986	2.359227141
987	2.358703566
988	2.356645226
989	2.354877947
990	2.353296684
991	2.351367452
992	2.351034252
993	2.348591915
994	2.346976294
995	2.34547125
996	2.345071948
997	2.344209173
998	2.340246548
999	2.338670085
